"listed_in_type","listed_in_city","online_order","book_table",".cluster","count_ofrestaurants","rate","votes","approx_cost_for_two_people","num_of_dish_liked","num_of_cuisines"
"Cafes","HSR","Yes","No",6,8,3.8625,242.25,500,5.5,3.75
"Buffet","Indiranagar","No","No",4,5,3.86,457,1040,4.6,2.8
"Dine-out","Basavanagudi","No","Yes",2,2,3.85,207,775,4.5,4
"Cafes","Jayanagar","No","No",4,2,3.85,398.5,450,4,2
"Delivery","Koramangala 7th Block","Yes","No",1,2,3.85,20.5,275,1,1.5
"Delivery","Sarjapur Road","Yes","No",7,2,3.85,175,750,6.5,3.5
"Dine-out","BTM","No","Yes",2,2,3.85,156.5,1150,5.5,3
"Dine-out","Koramangala 6th Block","Yes","No",2,2,3.85,229.5,450,5.5,2
"Delivery","Brookefield","Yes","No",7,109,3.84862385321101,369.798165137615,557.798165137615,6.53211009174312,2.90825688073395
"Cafes","BTM","No","No",4,15,3.84666666666667,188,470,4.2,2
"Delivery","Marathahalli","No","No",7,3,3.83333333333333,227.333333333333,533.333333333333,7,2.33333333333333
"Desserts","Whitefield","No","No",1,7,3.82857142857143,47.4285714285714,392.857142857143,1.42857142857143,1.71428571428571
"Cafes","Whitefield","No","No",4,5,3.82,395,620,4.2,1.8
"Cafes","Kalyan Nagar","Yes","No",4,17,3.81764705882353,106.470588235294,579.411764705882,3.88235294117647,3.23529411764706
"Desserts","Basavanagudi","No","No",1,7,3.81428571428571,39.7142857142857,228.571428571429,1.14285714285714,1.57142857142857
"Delivery","Marathahalli","Yes","No",7,11,3.80909090909091,508.818181818182,604.545454545455,6.09090909090909,3.27272727272727
"Cafes","Bellandur","Yes","No",4,12,3.80833333333333,181.583333333333,570.833333333333,3.16666666666667,3.58333333333333
"Delivery","Electronic City","Yes","Yes",5,13,3.80769230769231,450.692307692308,757.692307692308,3.46153846153846,2.92307692307692
"Buffet","Basavanagudi","No","Yes",4,2,3.8,98.5,1075,4,2.5
"Buffet","Basavanagudi","Yes","No",4,1,3.8,74,1000,1,4
"Buffet","Basavanagudi","Yes","Yes",4,1,3.8,584,1200,7,3
"Buffet","BTM","No","No",4,3,3.8,203.666666666667,733.333333333333,5,3.33333333333333
"Buffet","Kalyan Nagar","Yes","No",4,1,3.8,311,800,7,3
"Buffet","Lavelle Road","No","No",4,1,3.8,88,750,1,4
"Cafes","Bannerghatta Road","No","Yes",4,2,3.8,119.5,750,4,3
"Delivery","HSR","Yes","Yes",6,3,3.8,318.666666666667,716.666666666667,4.66666666666667,4.66666666666667
"Delivery","JP Nagar","Yes","Yes",7,1,3.8,170,700,6,3
"Delivery","Koramangala 7th Block","Yes","Yes",7,1,3.8,584,1200,7,3
"Dine-out","Banashankari","No","Yes",2,1,3.8,977,1300,5,1
"Dine-out","Marathahalli","Yes","No",7,1,3.8,1819,800,7,4
"Dine-out","Sarjapur Road","Yes","No",2,1,3.8,26,500,1,4
"Cafes","Whitefield","Yes","No",4,7,3.78571428571429,107.714285714286,600,3.71428571428571,2.57142857142857
"Cafes","Indiranagar","No","No",4,26,3.78076923076923,289.807692307692,569.230769230769,4.53846153846154,2.5
"Cafes","Brigade Road","No","No",4,30,3.77,221.466666666667,625,2.86666666666667,2.76666666666667
"Delivery","Bellandur","Yes","Yes",1,3,3.76666666666667,74.6666666666667,533.333333333333,2.66666666666667,2.33333333333333
"Cafes","Indiranagar","Yes","No",4,16,3.75625,352.4375,600,5.75,4
"Cafes","Banashankari","Yes","No",4,12,3.75,184,550,4.91666666666667,3.08333333333333
"Desserts","New BEL Road","No","No",1,6,3.75,57.8333333333333,291.666666666667,1.5,2
"Pubs and bars","Brigade Road","No","No",7,2,3.75,179.5,375,7,3
"Desserts","HSR","Yes","No",6,6,3.73333333333333,112.166666666667,483.333333333333,4.33333333333333,2.16666666666667
"Desserts","Lavelle Road","No","No",2,3,3.73333333333333,24,233.333333333333,1,2
"Pubs and bars","Brigade Road","No","No",1,3,3.73333333333333,29.3333333333333,266.666666666667,1.33333333333333,2.33333333333333
"Cafes","Bellandur","No","No",4,10,3.72,32.8,460,1.8,2.4
"Dine-out","Church Street","Yes","No",2,5,3.72,169.4,530,3.2,2.8
"Cafes","Basavanagudi","No","No",4,13,3.71538461538462,164.461538461538,492.307692307692,3.46153846153846,2.53846153846154
"Cafes","Malleshwaram","No","No",4,14,3.70714285714286,69.3571428571429,485.714285714286,2.35714285714286,1.78571428571429
"Buffet","Banashankari","No","No",4,3,3.7,87.3333333333333,566.666666666667,1.33333333333333,2.66666666666667
"Buffet","Brookefield","No","Yes",4,6,3.7,235.833333333333,1183.33333333333,5.83333333333333,3.16666666666667
"Buffet","BTM","Yes","No",4,2,3.7,212.5,800,4,2.5
"Buffet","HSR","No","No",6,1,3.7,51,1500,1,2
"Buffet","HSR","No","Yes",6,2,3.7,220,1100,4,5.5
"Buffet","Lavelle Road","No","Yes",4,1,3.7,41,700,1,3
"Buffet","Marathahalli","No","No",4,2,3.7,35.5,800,1,2.5
"Buffet","Rajajinagar","No","No",4,1,3.7,55,1400,1,2
"Cafes","Electronic City","No","No",5,6,3.7,55.1666666666667,625,3,2.16666666666667
